"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.494359400E-2,6.426816600E1,2.479843070E1,6.795613703E1,8.600000000E1,NaN,NaN,2.148303528E-2,5.195299911E1,5.851499557E0,0.000000000E0
2.550930988E0,6.426833973E1,2.479823601E1,9.635033565E1,1.143939819E2,8.999999762E-1,2.536999969E2,2.404094672E-2,9.818621635E0,1.269932175E1,1.400000000E1
3.566156717E0,6.426836269E1,2.479823928E1,9.057759458E1,1.086212158E2,9.800000191E-1,3.228999939E2,2.892585210E-2,5.560086727E0,8.447682381E0,2.600000000E1
3.754420259E0,6.426831951E1,2.479822065E1,8.525088888E1,1.032945557E2,1.019999981E0,3.182000122E2,2.996686093E-2,3.790092468E0,2.690343142E0,2.600000000E1
4.755023383E0,6.426831063E1,2.479821382E1,8.225887549E1,1.003025513E2,1.129999995E0,3.185000000E2,3.036106141E-2,3.790092468E0,2.500000000E0,3.200000000E1
5.754678747E0,6.426830954E1,2.479820605E1,7.980617749E1,9.784985352E1,1.100000024E0,3.183999939E2,3.122283286E-2,3.790092468E0,2.500000000E0,3.200000000E1
6.755091039E0,6.426831456E1,2.479819245E1,7.925393864E1,9.729760742E1,1.250000000E0,3.153999939E2,3.178744251E-2,3.790092468E0,2.500000000E0,3.200000000E1
7.754754944E0,6.426831832E1,2.479818459E1,7.836362396E1,9.640728760E1,1.149999976E0,3.161000061E2,3.276175228E-2,3.790092468E0,2.500000000E0,3.200000000E1
8.754371403E0,6.426832479E1,2.479817098E1,7.729637208E1,9.534002686E1,1.169999957E0,3.237000122E2,3.382223475E-2,3.790092468E0,2.500000000E0,3.200000000E1
9.754966975E0,6.426833250E1,2.479815805E1,7.656823281E1,9.461187744E1,1.230000019E0,3.287999878E2,3.485080375E-2,3.790092468E0,2.500000000E0,3.200000000E1
1.075438015E1,6.426834070E1,2.479814819E1,7.587305269E1,9.391668701E1,1.309999943E0,3.358999939E2,3.588698592E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.175462374E1,6.426834972E1,2.479814280E1,7.541249207E1,9.345611572E1,1.309999943E0,3.417999878E2,3.691335953E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.275504869E1,6.426835887E1,2.479814000E1,7.525149181E1,9.329510498E1,1.269999981E0,3.465000000E2,3.792452265E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.375461140E1,6.426836796E1,2.479813941E1,7.518643848E1,9.323004150E1,1.250000000E0,3.517999878E2,3.890139879E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.475437874E1,6.426837674E1,2.479813871E1,7.471006890E1,9.275366211E1,1.220000029E0,3.490000000E2,3.996165731E-2,3.790092468E0,2.500000000E0,2.900000000E1
1.575510760E1,6.426838610E1,2.479813452E1,7.423113693E1,9.227471924E1,1.230000019E0,3.437999878E2,4.103576469E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.675484791E1,6.426839562E1,2.479813075E1,7.404059619E1,9.208416748E1,1.220000029E0,3.457000122E2,4.215063056E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.775446254E1,6.426840558E1,2.479812810E1,7.416798792E1,9.221154785E1,1.330000043E0,3.480000000E2,4.301632903E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.875466432E1,6.426841323E1,2.479813143E1,7.388674599E1,9.193029785E1,1.179999948E0,3.536000061E2,4.398569524E-2,3.790092468E0,2.500000000E0,3.000000000E1
1.975483546E1,6.426842192E1,2.479813303E1,7.378122564E1,9.182476807E1,1.200000048E0,3.552000122E2,4.499039128E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.075448327E1,6.426843073E1,2.479812841E1,7.377043275E1,9.181396484E1,1.120000005E0,3.457000122E2,4.614010614E-2,3.790092468E0,2.500000000E0,3.000000000E1
2.175457176E1,6.426844089E1,2.479812399E1,7.357348411E1,9.161700439E1,1.210000038E0,3.483999939E2,4.737471758E-2,3.790092468E0,2.500000000E0,2.900000000E1
